ID,Model Probability,Model Predicted Label
NDAR_INV01RGTWD2,0.4816462455347508,0
NDAR_INV01Z8HAPV,0.44371341303347056,0
NDAR_INV02EBX0JJ,0.4868253719160542,0
NDAR_INV02UVMTY7,0.482906188615499,0
NDAR_INV06DJHEV0,0.5005522725052189,1
NDAR_INV07BR8GMY,0.5373067439477605,1
NDAR_INV086U18RD,0.4110077542934714,0
NDAR_INV0DKWEM1A,0.544538650720544,1
NDAR_INV0E4CT74P,0.5231727283453382,1
NDAR_INV0HVEVD01,0.5476340645467132,1
NDAR_INV0KYBPJ2A,0.4686990148484152,0
NDAR_INV0M0EWKRV,0.5707915689676883,1
NDAR_INV0MF9V4P1,0.569774519266744,1
NDAR_INV0U23M45G,0.39180164624351455,0
NDAR_INV0UMM15GY,0.4784402689559021,0
NDAR_INV0VJZ6NZY,0.5521067091534411,1
NDAR_INV0VY70352,0.46620407804203995,0
NDAR_INV0WTM31V7,0.5392147628048888,1
NDAR_INV10EP1VM2,0.4676684201080853,0
NDAR_INV10RNF3BK,0.4840480454764641,0
NDAR_INV10T1UELH,0.40381344525412244,0
NDAR_INV112R12P1,0.5302122621362971,1
NDAR_INV12NED96V,0.49266721765002364,0
NDAR_INV14ZFCHTA,0.4764242969031277,0
NDAR_INV16C687G5,0.46366336526909074,0
NDAR_INV170X8DA0,0.5350922632902065,1
NDAR_INV17K4X0WD,0.48070552390886107,0
NDAR_INV1EECRFPM,0.4776259277108531,0
NDAR_INV1H96TWEB,0.5793226631436471,1
NDAR_INV1K3LDK3L,0.510513099972698,1
NDAR_INV1MFM0HL1,0.5139188201483946,1
NDAR_INV1NBW9RH8,0.4397910796150215,0
NDAR_INV1P6NVAXL,0.5121931785091949,1
NDAR_INV1U3RR4GV,0.538968572613958,1
NDAR_INV1V08GVK8,0.4162338960072927,0
NDAR_INV1V7XPJKR,0.3954573559798218,0
NDAR_INV1VCF7KC6,0.47095501545362994,0
NDAR_INV1VMB1ZYW,0.560720112658407,1
