ID,Model Probability,Model Predicted Label
100206,0.4599394,0
100307,0.41964433,0
100408,0.44061893,0
100610,0.5421947,1
101006,0.51832694,1
101107,0.43012485,0
101309,0.31124493,0
101410,0.5766698,1
101915,0.4144909,0
102008,0.49955598,0
102109,0.48281002,0
102311,0.46180952,0
102513,0.42566618,0
102614,0.43024135,0
102715,0.48778123,0
102816,0.47506443,0
103010,0.510738,1
103111,0.54532576,1
103212,0.5055722,1
103414,0.5387765,1
103515,0.25548312,0
103818,0.3598107,0
104012,0.58892,1
104416,0.5330015,1
104820,0.5096433,1
105014,0.5294749,1
105115,0.43800557,0
105216,0.4756385,0
105620,0.4677831,0
105923,0.4233795,0
106016,0.5361185,1
106319,0.44151554,0
106521,0.48879284,0
106824,0.5243607,1
107018,0.47211418,0
107321,0.4598896,0
107422,0.44589144,0
107725,0.48728958,0
108020,0.44640762,0
108121,0.47410065,0
108222,0.26560342,0
108323,0.5151426,1
108525,0.43121374,0
108828,0.52860653,1
109123,0.5468748,1
109830,0.54431343,1
110007,0.49928504,0
110411,0.47118625,0
110613,0.50841963,1
111009,0.5218615,1
111211,0.53874487,1
111312,0.61308086,1
111413,0.53750354,1
111514,0.5529225,1
111716,0.4230415,0
112112,0.3988128,0
112314,0.41512957,0
112516,0.43109372,0
112819,0.54321223,1
112920,0.56483227,1
113215,0.52661955,1
113316,0.40078992,0
113619,0.50693303,1
113821,0.47701687,0
113922,0.5625104,1
114116,0.38545004,0
114217,0.5891704,1
114318,0.5256822,1
114419,0.35638335,0
114621,0.4469505,0
114823,0.43567833,0
115017,0.5476099,1
115219,0.50607073,1
115320,0.43853134,0
115724,0.47604597,0
115825,0.44616714,0
116221,0.6124318,1
116423,0.482492,0
116524,0.44838637,0
116726,0.55223596,1
117021,0.5711034,1
117122,0.43751937,0
117324,0.4164125,0
117930,0.5135851,1
118023,0.4033776,0
118124,0.5341684,1
118225,0.46518055,0
118528,0.43686098,0
118730,0.38420093,0
118831,0.40809458,0
118932,0.4679195,0
119025,0.4690847,0
119126,0.56056565,1
119732,0.55354965,1
119833,0.46436548,0
120010,0.5909715,1
120111,0.4479302,0
120212,0.5201692,1
120414,0.4990289,0
120515,0.41391683,0
120717,0.36855868,0
121416,0.061008718,0
121618,0.44742993,0
121719,0.5604317,1
121921,0.461418,0
122317,0.46504632,0
122418,0.4826403,0
122620,0.47216,0
122822,0.50161767,1
123117,0.47736755,0
123420,0.609575,1
123521,0.5780107,1
123723,0.5150486,1
123824,0.6237387,1
123925,0.48754832,0
124220,0.63436157,1
124422,0.30014348,0
124624,0.5375327,1
124826,0.4458633,0
125222,0.39892668,0
125424,0.51241094,1
125525,0.54583853,1
126325,0.4422069,0
126426,0.38596788,0
126628,0.29491156,0
127226,0.5903524,1
127327,0.43885803,0
127630,0.45109463,0
127731,0.38646308,0
127832,0.38577628,0
127933,0.4451637,0
128026,0.53726745,1
128127,0.4502021,0
128632,0.42897853,0
128935,0.5412866,1
129028,0.5337051,1
129129,0.5533726,1
129331,0.49888182,0
129634,0.4897479,0
129937,0.47743157,0
130013,0.4077852,0
130114,0.550956,1
130316,0.565188,1
130417,0.48588267,0
130619,0.5496262,1
130720,0.45343664,0
130821,0.45073533,0
130922,0.5368363,1
131217,0.54392576,1
131419,0.49298644,0
131722,0.5480267,1
131823,0.5153021,1
131924,0.53968996,1
132017,0.53416485,1
132118,0.3980272,0
133019,0.40395936,0
133625,0.45380545,0
133827,0.53729075,1
133928,0.40958503,0
134021,0.47631174,0
134223,0.5814793,1
134324,0.45339024,0
134425,0.5623193,1
134627,0.54000646,1
